zip_code_start;zip_code_stop;pv_production_sum
01000;01999;965.20
02000;02999;968.00
03000;03999;989.20
04000;04999;987.40
06000;06999;971.60
07000;07999;923.60
08000;08999;927.00
09000;09999;969.80
10000;13999;879.00
14000;14999;948.20
15000;15999;949.60
16000;16999;936.20
17000;17999;938.00
18000;18999;935.60
19000;19999;915.20
20000;22999;898.60
23000;23999;925.20
24000;24999;929.60
25000;25999;929.00
26000;26999;887.00
27000;28999;878.80
29000;29999;936.80
30000;31999;947.80
32000;32999;902.00
33000;33999;893.60
34000;34999;929.80
35000;35999;926.40
36000;36999;946.20
37000;37999;933.00
38000;38999;927.80
39000;39999;980.40
40000;40999;863.80
41000;41999;920.60
42000;42999;825.20
44000;44999;884.20
45000;45999;880.00
46000;46999;888.20
47000;47999;945.00
48000;48999;911.60
49000;49999;902.60
50000;50999;913.40
51000;51999;902.80
52000;52999;946.80
53000;53999;924.20
54000;54999;962.00
55000;55999;976.20
56000;56999;948.80
57000;57999;889.40
58000;58999;903.40
59000;59999;927.80
60000;61999;948.40
63000;63999;940.60
64000;64999;971.80
65000;65999;962.00
66000;66999;968.40
67000;67999;957.80
68000;69999;984.60
70000;71999;1011.60
72000;72999;1007.40
73000;73999;1008.80
74000;74999;983.20
75000;75999;1007.40
76000;76999;1015.60
77000;77999;986.20
78000;78999;996.60
79000;79999;1002.00
80000;81999;934.40
82000;82999;959.60
83000;83999;983.40
84000;84999;1019.80
85000;85999;1001.60
86000;86999;1002.40
87000;87999;996.40
88000;88999;1019.00
89000;89999;994.40
90000;91999;962.40
92000;92999;949.60
93000;93999;960.40
94000;94999;997.20
95000;95999;969.80
96000;96999;931.60
97000;97999;973.20
98000;98999;916.40
99000;99999;953.80